V1.V,V(V_D),I(D1.nK),
-5.2,-4.9632313040918286,0.00023676869590817147,
-5.19,-4.962227114447912,0.0002277728855520883,
-5.18,-4.961187064392378,0.00021881293560762163,
-5.17,-4.960108635215858,0.00020989136478414189,
-5.16,-4.958989046991363,0.0002010109530086379,
-5.15,-4.957825222951119,0.0001921747770488819,
-5.14,-4.956613747897566,0.00018338625210243337,
-5.13,-4.9553508194828675,0.00017464918051713203,
-5.12,-4.954032190938603,0.0001659678090613966,
-5.11,-4.952653103528089,0.00015734689647191165,
-5.1,-4.951208206616935,0.00014879179338306387,
-5.09,-4.949691462801933,0.00014030853719806678,
-5.08,-4.9480960349945,0.0001319039650054996,
-5.07,-4.946414151719242,0.00012358584828075754,
-5.06,-4.944636946170276,0.00011536305382972316,
-5.05,-4.942754263806005,0.00010724573619399454,
-5.04,-4.940754432549229,0.00009924556745077103,
-5.03,-4.93862398918769,0.00009137601081231056,
-5.02,-4.936347355717324,0.00008365264428267556,
-5.01,-4.933906460835447,0.0000760935391645535,
-5,-4.931280305821086,0.00006871969417891376,
-4.99,-4.928444482778965,0.00006155551722103475,
-4.98,-4.925370670191933,0.00005462932980806741,
-4.97,-4.922026161323958,0.00004797383867604115,
-4.96,-4.918373532608408,0.000041626467391592156,
-4.95,-4.91437063949037,0.000035629360509630165,
-4.94,-4.9099712383269045,0.00003002876167309626,
-4.93,-4.905126656053375,0.00002487334394662459,
-4.92,-4.8997889969054,0.000020211003094599613,
-4.91,-4.893916242073976,0.000016083757926024135,
-4.9,-4.887479061595564,0.000012520938404436118,
-4.89,-4.880468129663215,0.00000953187033678487,
-4.88,-4.872899577184669,0.000007100422815330669,
-4.87,-4.864815891944275,0.000005184108055725084,
-4.86,-4.856280976759469,0.0000037190232405316986,
-4.85,-4.847370742084788,0.00000262925791521194,
-4.84,-4.838162627346482,0.0000018373726535181148,
-4.83,-4.828727325825599,0.0000012726741744005213,
-4.82,-4.819124214345904,8.757856540962405e-7,
-4.81,-4.809400164543171,5.998354568286072e-7,
-4.8,-4.799590533454576,4.094665454237184e-7,
-4.79,-4.78972113531972,2.788646802798919e-7,
-4.78,-4.779810386590315,1.8961340968560622e-7,
-4.77,-4.769871215428409,1.2878457159070302e-7,
-4.76,-4.759912596300566,8.740369943343818e-8,
-4.75,-4.7499407113304,5.9288669599325215e-8,
-4.74,-4.739959796731173,4.020326882658568e-8,
-4.73,-4.729972744886073,2.7255113927537335e-8,
-4.72,-4.7199815258129645,1.8474187035503502e-8,
-4.71,-4.7099874790693335,1.2520930666509735e-8,
-4.7,-4.699991514487658,8.485512342326823e-9,
-4.69,-4.689994249555526,5.750444474166989e-9,
-4.68,-4.6799961031330115,3.896866988400815e-9,
-4.67,-4.66999735924501,2.6407549895227975e-9,
-4.66,-4.659998210439933,1.789560067482023e-9,
-4.65,-4.649998787230555,1.2127694454767255e-9,
-4.64,-4.639999178071061,8.219289382858075e-10,
-4.63,-4.629999442906237,5.570937628870744e-10,
