V1.V,V(V_D),I(D1.nA),
-1.32,-1.31999748,-2.5199999999995368e-9,
-1.31,-1.30999748,-2.5199999999994214e-9,
-1.3,-1.29999748,-2.5199999999992774e-9,
-1.29,-1.28999748,-2.5199999999990975e-9,
-1.28,-1.27999748,-2.5199999999988734e-9,
-1.27,-1.26999748,-2.519999999998593e-9,
-1.26,-1.25999748,-2.519999999998243e-9,
-1.25,-1.24999748,-2.519999999997806e-9,
-1.24,-1.23999748,-2.51999999999726e-9,
-1.23,-1.22999748,-2.5199999999965784e-9,
-1.22,-1.21999748,-2.5199999999957268e-9,
-1.21,-1.20999748,-2.5199999999946643e-9,
-1.2,-1.19999748,-2.5199999999933366e-9,
-1.19,-1.18999748,-2.519999999991679e-9,
-1.18,-1.17999748,-2.519999999989609e-9,
-1.17,-1.16999748,-2.5199999999870244e-9,
-1.16,-1.15999748,-2.5199999999837963e-9,
-1.15,-1.14999748,-2.5199999999797655e-9,
-1.14,-1.13999748,-2.519999999974732e-9,
-1.13,-1.1299974799999999,-2.519999999968446e-9,
-1.12,-1.11999748,-2.5199999999605964e-9,
-1.11,-1.10999748,-2.5199999999507943e-9,
-1.1,-1.09999748,-2.5199999999385537e-9,
-1.09,-1.08999748,-2.519999999923268e-9,
-1.08,-1.07999748,-2.519999999904179e-9,
-1.07,-1.0699974800000003,-2.519999999880342e-9,
-1.06,-1.0599974800000003,-2.5199999998505756e-9,
-1.05,-1.0499974800000003,-2.5199999998134038e-9,
-1.04,-1.0399974800000003,-2.519999999766985e-9,
-1.03,-1.0299974800000002,-2.5199999997090185e-9,
-1.02,-1.0199974800000005,-2.5199999996366324e-9,
-1.01,-1.0099974800000004,-2.5199999995462385e-9,
-1,-0.9999974800000005,-2.519999999433358e-9,
-0.99,-0.9899974800000007,-2.5199999992923966e-9,
-0.98,-0.9799974800000009,-2.519999999116369e-9,
-0.97,-0.9699974800000011,-2.519999998896551e-9,
-0.96,-0.9599974800000013,-2.5199999986220503e-9,
-0.95,-0.9499974800000017,-2.519999998279263e-9,
-0.94,-0.939997480000002,-2.5199999978512015e-9,
-0.93,-0.9299974800000027,-2.5199999973166525e-9,
-0.92,-0.9199974800000034,-2.5199999966491265e-9,
-0.91,-0.9099974800000042,-2.5199999958155422e-9,
-0.9,-0.8999974800000052,-2.51999999477459e-9,
-0.89,-0.8899974800000066,-2.5199999934746844e-9,
-0.88,-0.8799974800000081,-2.519999991851406e-9,
-0.87,-0.8699974800000102,-2.519999989824311e-9,
-0.86,-0.8599974800000127,-2.5199999872929424e-9,
-0.85,-0.8499974800000158,-2.519999984131855e-9,
-0.84,-0.8399974800000198,-2.5199999801843962e-9,
-0.83,-0.8299974800000247,-2.5199999752549424e-9,
-0.82,-0.8199974800000308,-2.5199999690992066e-9,
-0.81,-0.8099974800000387,-2.5199999614121307e-9,
-0.8,-0.7999974800000482,-2.5199999518127704e-9,
-0.79,-0.7899974800000602,-2.519999939825413e-9,
-0.78,-0.7799974800000752,-2.5199999248560048e-9,
-0.77,-0.7699974800000938,-2.519999906162713e-9,
-0.76,-0.7599974800001172,-2.519999882819161e-9,
-0.75,-0.7499974800001463,-2.5199998536685203e-9,
-0.74,-0.7399974800001827,-2.519999817266183e-9,
-0.73,-0.7299974800002281,-2.519999771808172e-9,
-0.72,-0.719997480000285,-2.519999715041741e-9,
-0.71,-0.7099974800003558,-2.5199996441537363e-9,
-0.7,-0.6999974800004444,-2.5199995556311874e-9,
-0.69,-0.6899974800005548,-2.519999445087213e-9,
-0.68,-0.679997480000693,-2.519999307043626e-9,
-0.67,-0.6699974800008653,-2.5199991346594497e-9,
-0.66,-0.6599974800010806,-2.5199989193919045e-9,
-0.65,-0.6499974800013495,-2.5199986505730537e-9,
-0.64,-0.6399974800016851,-2.5199983148811387e-9,
-0.63,-0.6299974800021043,-2.519997895680397e-9,
-0.62,-0.6199974800026278,-2.519997372196648e-9,
-0.61,-0.6099974800032815,-2.5199967184877962e-9,
-0.6,-0.5999974800040978,-2.519995902158229e-9,
-0.59,-0.5899974800051172,-2.5199948827533963e-9,
-0.58,-0.5799974800063902,-2.5199936097550204e-9,
-0.57,-0.5699974800079799,-2.519992020077581e-9,
-0.56,-0.5599974800099651,-2.5199900349420063e-9,
-0.55,-0.5499974800124441,-2.5199875559716494e-9,
-0.54,-0.5399974800155397,-2.5199844603170714e-9,
-0.53,-0.5299974800194055,-2.519980594568036e-9,
-0.52,-0.5199974800242328,-2.5199757671510136e-9,
-0.51,-0.5099974800302611,-2.5199697388354422e-9,
-0.5,-0.4999974800377891,-2.5199622108782637e-9,
-0.49,-0.4899974800471898,-2.5199528102192228e-9,
-0.48,-0.479997480058929,-2.5199410709932552e-9,
-0.47,-0.46999748007358855,-2.5199264114437804e-9,
-0.46,-0.45999748009189495,-2.5199081050928026e-9,
-0.45,-0.44999748011475527,-2.5198852447391042e-9,
-0.44,-0.4399974801433025,-2.5198566975004027e-9,
-0.43,-0.42999748017895134,-2.519821048671518e-9,
-0.42,-0.4199974802234684,-2.5197765316163426e-9,
-0.41,-0.40999748027905975,-2.5197209402192998e-9,
-0.4,-0.3999974803484805,-2.5196515195576844e-9,
-0.39,-0.38999748043517063,-2.5195648293769698e-9,
-0.38,-0.3799974805434264,-2.5194565736033875e-9,
-0.37,-0.36999748067861254,-2.5193213874449927e-9,
-0.36,-0.35999748084742844,-2.5191525715306804e-9,
-0.35,-0.3499974810582401,-2.5189417599119784e-9,
-0.34,-0.33999748132149454,-2.5186785054749354e-9,
-0.33,-0.3299974816502378,-2.518349762216532e-9,
-0.32,-0.3199974820607613,-2.5179392387290424e-9,
-0.31,-0.30999748257340914,-2.517426590853281e-9,
-0.3,-0.2999974832135865,-2.5167864134914734e-9,
-0.29,-0.28999748401301834,-2.515986981617597e-9,
-0.28,-0.27999748501132193,-2.5149886780942153e-9,
-0.27,-0.26999748625796965,-2.51374203038419e-9,
-0.26,-0.25999748781474114,-2.512185258864086e-9,
-0.25,-0.24999748975878475,-2.510241215243145e-9,
-0.24,-0.23999749218644062,-2.5078135593680505e-9,
-0.23,-0.22999749521801505,-2.504781984951751e-9,
-0.22,-0.21999749900374238,-2.5009962576341326e-9,
-0.21,-0.20999750373123005,-2.4962687699280603e-9,
-0.2,-0.1999975096347559,-2.490365244110189e-9,
-0.19,-0.18999751700687767,-2.482993122340578e-9,
-0.18,-0.1799975262129313,-2.473787068691794e-9,
-0.17,-0.16999753770913537,-2.4622908646594053e-9,
-0.16,-0.15999755206519897,-2.4479348010226952e-9,
-0.15,-0.14999756999255423,-2.4300074457758206e-9,
-0.14,-0.13999759237961082,-2.407620389204614e-9,
-0.13,-0.12999762033578077,-2.3796642192455474e-9,
-0.12,-0.11999765524645419,-2.3447535458066564e-9,
-0.11,-0.10999769884164974,-2.3011583502534083e-9,
-0.1,-0.09999775328174108,-2.2467182589265164e-9,
-0.09,-0.08999782126450613,-2.1787354938656837e-9,
-0.08,-0.07999790615880194,-2.0938411980609657e-9,
-0.07,-0.06999801217148562,-1.9878285143844348e-9,
-0.06,-0.05999814455584819,-1.855444151806054e-9,
-0.05,-0.04999830987188157,-1.6901281184277837e-9,
-0.04,-0.03999851631126288,-1.483688737120213e-9,
-0.03,-0.029998774103139943,-1.2258968600540758e-9,
-0.02,-0.01999909602079383,-9.039792061698114e-10,
-0.01,-0.009999498014234802,-5.019857651986285e-10,
-1.3577806107930013e-30,1.4315406863313878e-18,-1.4315406863327455e-21,
0.01,0.009999375745309659,6.242546903412114e-10,
0.02,0.019998590478825223,1.409521174776468e-9,
0.03,0.029997614608971986,2.385391028012429e-9,
0.04,0.03999639241049001,3.607589509991375e-9,
0.05,0.04999486847464405,5.131525355954119e-9,
0.06,0.05999296641112622,7.03358887378281e-9,
0.07,0.06999058897465213,9.411025347883205e-9,
0.08,0.07998762193657641,1.237806342358907e-8,
0.09,0.08998391744745952,1.6082552540468793e-8,
0.1,0.09997929274255908,2.0707257440922568e-8,
0.11,0.10997351735142559,2.6482648574412468e-8,
0.12,0.11996630827565308,3.3691724346911614e-8,
0.13,0.1299573090782948,4.269092170519612e-8,
0.14,0.13994607629845054,5.392370154947944e-8,
0.15,0.14993205684811348,6.794315188652618e-8,
0.16,0.1599145622035459,8.543779645408799e-8,
0.17,0.16989273455009168,1.072654499083252e-7,
0.18,0.17986550658382586,1.3449341617414305e-7,
0.19,0.18983155136566068,1.684486343393312e-7,
0.2,0.199789220976398,2.1077902360201584e-7,
0.21,0.20973647142855542,2.635285714445635e-7,
0.22,0.21967077234607882,3.2922765392117565e-7,
0.23,0.22958899707020256,4.110029297974565e-7,
0.24,0.23948729260869125,5.12707391308723e-7,
0.25,0.24936092611901017,6.390738809898255e-7,
0.26,0.2592041071730902,7.958928269098028e-7,
0.27,0.26900978630540556,9.902136945944735e-7,
0.28,0.278769433271527,0.0000012305667284730682,
0.29,0.28847280279713994,0.000001527197202860058,
0.3,0.2981077003272256,0.0000018922996727743746,
0.31,0.30765977532533284,0.0000023402246746671367,
0.32,0.31711236182522917,0.000002887638174770828,
0.33,0.3264464194344829,0.0000035535805655171304,
0.34,0.33564061424715136,0.000004359385752848653,
0.35,0.3446715912053504,0.0000053284087946495845,
0.36,0.353514476869556,0.000006485523130444003,
0.37,0.36214362881259693,0.000007856371187403055,
0.38,0.3705336104267984,0.000009466389573201625,
0.39,0.378660323349136,0.000011339676650863976,
0.4,0.38650218519046886,0.00001349781480953115,
0.41,0.3940412125304749,0.00001595878746952505,
0.42,0.4012638705508334,0.000018736129449166587,
0.43,0.408161584670257,0.000021838415329743033,
0.44,0.41473086768258344,0.000025269132317416584,
0.45,0.4209730809471372,0.00002902691905286281,
0.46,0.42689390173642505,0.00003310609826357499,
0.47,0.432502598916183,0.00003749740108381699,
0.48,0.4378112234913225,0.000042188776508677464,
0.49,0.4428338050502523,0.00004716619494974768,
0.5,0.4475856192292493,0.00005241438077075073,
0.51,0.45208256377919853,0.000057917436220801486,
0.52,0.4563406574359744,0.00006365934256402563,
0.53,0.4603756590506602,0.00006962434094933986,
0.54,0.4642027943546822,0.00007579720564531785,
0.55,0.4678365730445157,0.00008216342695548436,
0.56,0.47129067791329626,0.00008870932208670378,
0.57,0.47457790902624464,0.00009542209097375531,
0.58,0.47771016829397145,0.0001022898317060285,
0.59,0.4806984724891583,0.00010930152751084168,
0.6,0.4835529853400392,0.00011644701465996078,
0.61,0.4862830748901517,0.0001237169251098483,
0.62,0.4888973058621051,0.0001311026941378949,
0.63,0.49140359129675937,0.00013859640870324063,
0.64,0.49380917276820974,0.00014619082723179026,
0.65,0.49612069520370405,0.000153879304796296,
0.66,0.49834425741518934,0.00016165574258481067,
0.67,0.5004854596507957,0.0001695145403492043,
0.68,0.5025494478165624,0.00017745055218343765,
0.69,0.5045409542526191,0.0001854590457473808,
0.7,0.5064643350948314,0.00019353566490516863,
0.71,0.5083236043472241,0.0002016763956527759,
0.72,0.5101224648474624,0.00020987753515253757,
0.73,0.5118643363384795,0.0002181356636615205,
0.74,0.5135523808722814,0.00022644761912771864,
0.75,0.5151895257729527,0.00023481047422704732,
0.76,0.5167784843792075,0.00024322151562079254,
0.77,0.5183217747754558,0.00025167822522454417,
0.78,0.5198217367063728,0.00026017826329362726,
